Year,Great_Britain,Ireland,Germany,Poland,Greece,Italy,Portugual,Spain,China,India,Japan,Turkey,Canada,Mexico,Scandinavia,Africa,Australia,Former_Soviet_Union,Carribean_Other,Central_America_Other,Africa_Other,Oceania_Other
1880,73273,71603,84638,2177,23,12354,808,389,5802,21,4,4,99744,492,65657,1351,953,5014,1351,17,18,1
1881,81376,72342,210485,5614,19,15401,1215,484,11890,33,11,5,125450,325,81582,1680,1188,5041,1680,12,33,3
1882,102991,76432,250630,4672,126,32159,1436,378,39579,10,5,,98366,366,105326,1291,878,16918,1291,15,60,11
1883,76606,81486,194786,2011,73,31792,1573,262,8031,9,27,,70274,469,71994,903,554,9909,903,6,67,193
1884,65950,63344,179676,4536,37,16510,1927,300,279,12,20,,60626,430,52728,2208,502,12689,2208,10,59,398
1885,57713,51795,124443,3085,172,13642,2024,350,22,34,49,,38336,323,40704,2477,449,17158,2477,23,112,230
1886,62929,49619,84403,3939,104,21315,1194,344,40,17,194,15,,,46735,2734,522,17800,2734,29,122,614
1887,93378,68370,106865,6128,313,47622,1360,436,10,32,229,208,,,67629,4876,528,30766,4876,19,40,754
1888,108692,73513,109717,5826,782,51558,1625,526,26,20,404,273,,,81924,4880,697,33487,4880,67,65,1690
1889,87992,65557,99538,4922,158,25307,2024,526,118,59,640,593,28,,57504,4923,1000,33916,4923,81,187,1196
1890,69730,53024,92427,11073,524,52003,2600,813,1716,43,691,1126,183,,50368,3070,699,35598,3070,142,112,468
1891,66605,55706,113554,27497,1105,76055,2999,905,2836,42,1136,2488,234,,60107,3906,777,47426,3906,278,103,524
1892,42215,51383,119168,40536,660,61631,3400,4078,,,,,,,66295,,267,81511,,,,
1893,35189,43578,78756,16374,1072,72145,4816,206,472,,1380,,,,58945,2593,248,42310,2593,,,
1894,22520,30231,53989,1941,1356,42977,2190,920,1170,,1931,,194,109,32400,3177,244,39278,3177,,24,
1895,28833,46304,32173,790,597,35427,1452,501,539,,1150,2767,244,116,26852,3096,155,35907,3096,16,36,
1896,24565,40262,31885,691,2175,68060,2766,351,1441,,1110,4139,278,150,33199,6828,87,51445,6828,12,21,25
1897,12752,28421,22533,4165,571,59431,1874,448,3363,,1526,4732,291,91,21089,4101,139,25816,4101,5,37,60
1898,12894,25128,17111,4726,2339,58613,1717,577,2071,,2230,4275,352,107,19282,2124,153,29828,2124,5,48,48
1899,13456,31673,17476,,2333,77419,2054,385,1660,17,2844,4436,1322,161,22192,2585,456,60982,2585,159,51,354
1900,12509,35730,18507,,3771,100135,4234,355,1247,9,12635,3962,396,237,31151,4656,214,90787,4656,42,30,214
1901,14985,30561,21651,,5910,135996,4165,592,2459,22,5269,5782,540,347,39234,3176,325,85257,3176,130,173,173
1902,16898,29138,28304,,8104,178375,5307,975,1649,93,14270,6223,636,709,54038,4711,384,107347,4711,254,37,182
1903,33637,35310,40086,,14090,230622,9317,2080,2209,94,19968,7118,1058,528,77647,8170,1150,136093,8170,597,176,199
1904,51448,36142,46380,,11343,193296,6715,3996,4309,261,14264,5235,2837,1009,60096,10193,1461,145141,10193,605,686,94
1905,84189,52945,40574,,10515,221479,5028,2600,2166,190,10331,6157,2168,2637,60625,16641,2091,184897,16641,1072,757,75
1906,67198,34995,37564,,19489,273120,8517,1921,1544,216,13835,6354,5063,1997,52781,13656,1682,215665,13656,1140,712,51
1907,79037,34530,37807,,36580,285731,9608,5784,961,898,30226,8053,19918,1406,49965,16689,1947,258943,16689,970,1486,42
1908,62824,30556,32309,,21489,128503,7307,3899,1397,1040,15803,9753,38510,6067,30175,11888,1098,156711,11888,1217,1411,81
1909,46793,25033,25540,,14111,183218,4956,2616,1943,203,3111,7506,51941,16251,32496,11180,839,120460,11180,930,858,53
1910,68941,29855,31283,,25888,215537,8229,3472,1968,1696,2720,15212,56555,18691,48267,11244,998,186792,11244,893,1072,99
1911,73384,29112,32061,,26226,182882,8374,5074,1460,524,4520,10229,56830,19889,42285,13403,984,158721,13403,1193,956,59
1912,57148,25879,27788,,21449,157134,10230,6327,1765,175,6114,12788,55990,23238,27554,12467,794,162395,12467,1242,1009,104
1913,60328,27876,34329,,22817,265542,14171,6167,2105,179,8281,23955,73802,11926,32267,12458,1229,291040,12458,1473,1409,111
1914,48729,24688,35734,,35832,283738,10898,7591,2502,221,8929,21716,86139,14614,29391,14451,1336,255660,14451,1622,1539,110
1915,27237,14185,7799,,12592,49688,4907,2762,2660,161,8613,3543,82215,12340,17883,11598,1282,26187,11598,1252,934,117
1916,16063,8639,2877,,27034,33665,12259,5769,2460,112,8680,1670,101551,18425,14761,12027,1484,7842,12027,1135,894,90
1917,10735,5406,1857,,23974,34596,9975,10232,2237,109,8991,393,105399,17869,13771,15507,1014,12716,15507,2073,566,128
1918,2516,331,447,,1910,5250,2224,4295,1795,130,10213,43,32452,18524,6506,8879,925,4242,8879,2220,299,165
1919,6797,474,52,,386,1884,1222,1573,1964,171,10064,19,57782,29818,5590,8826,1234,1403,8826,2589,189,76
1920,38471,9591,1001,4813,11981,95145,15472,18821,2330,300,9432,5033,90025,52361,13444,13808,2066,1751,13808,2360,648,119
